name,littersize
Castor_canadensis,3.6
Castor_fiber,2.95
Cavia_aperea,2.14
Cavia_fulgida,1.34
Cavia_intermedia,1.11
Cavia_porcellus,3.45
Cavia_tschudii,1.9
Dolichotis_patagonum,1.75
Dolichotis_salinicola,1.94
Galea_musteloides,2.6
Galea_spixii,2.19
Hydrochoerus_hydrochaeris,3.49
Hydrochoerus_isthmius,4.99
Kerodon_rupestris,1.52
Microcavia_australis,2.48
Microcavia_niata,3.16
Microcavia_shiptoni,3.16
Chinchilla_chinchilla,2.5
Chinchilla_lanigera,1.87
Lagidium_peruanum,1
Lagidium_viscacia,1
Lagostomus_maximus,1.93